,Organization,EIN,Tax Year,Contributions and Grants,Program service revenue,Investment Income,Total Revenue,"Compensation of current officers, directors, etc",Payroll Tax,Professional fundraising fees,Total Functional Expenses,Total Assets,Total Liabilities
111,Women's Center And Shelter Of Greater Pittsburgh,251264376,2020,7203960.0,75484.0,197806.0,7800378,301352.0,276017.0,0.0,7102263,30825850,12813872
112,Women's Center And Shelter Of Greater Pittsburgh,251264376,2019,5370306.0,76859.0,181540.0,6915681,267557.0,232341.0,0.0,6137708,29630256,12241207
113,Young Men's Christian Association Of Pittsburgh,250969497,2021,10436930.0,10396366.0,378382.0,22183003,380703.0,991891.0,0.0,23462862,75839539,26320957
114,Young Men's Christian Association Of Pittsburgh,250969497,2020,8517086.0,28271887.0,428490.0,37683508,478009.0,1516507.0,0.0,36164965,74067271,28095784
115,Young Men's Christian Association Of Pittsburgh,250969497,2019,7244481.0,29835689.0,457748.0,37889841,422251.0,1536248.0,0.0,38903452,78780811,31091124
116,Manchester Youth Development Center,237447953,2021,715927.0,33475.0,40038.0,986446,129231.0,42703.0,0.0,836937,3044781,41890
117,Manchester Youth Development Center,237447953,2020,876437.0,106123.0,42259.0,1026350,126509.0,61976.0,0.0,1005032,2647713,120599
118,Manchester Youth Development Center,237447953,2019,815011.0,686007.0,30569.0,2256030,127616.0,82638.0,0.0,1460285,2500868,54201
119,Plea,237007910,2021,231910.0,1952699.0,24946.0,2209555,141516.0,105510.0,0.0,1973504,2209555,0
120,Plea,237007910,2020,127315.0,2023608.0,42150.0,2193073,0.0,108737.0,0.0,1874294,1969900,1342
121,Plea,237007910,2019,175846.0,2163731.0,49592.0,2389169,0.0,112400.0,0.0,2219818,1688033,164653
122,Transitional Services Inc.,251198675,2021,8518337.0,323722.0,103.0,8842162,217659.0,0.0,0.0,7295663,10014611,3797503
123,Transitional Services Inc.,251198675,2020,7333342.0,344393.0,1550.0,7679285,159832.0,0.0,0.0,7119738,10418580,5747971
124,Transitional Services Inc.,251198675,2019,7444666.0,253981.0,1881.0,7700528,182707.0,0.0,0.0,7092452,10060998,5949936
125,Urban League Of Greater Pittsburgh Inc.,250965592,2021,6690723.0,0.0,7693.0,8190537,409431.0,255791.0,0.0,5977663,4722983,368224
126,Urban League Of Greater Pittsburgh Inc.,250965592,2020,5500005.0,0.0,13841.0,5770644,328416.0,260469.0,28000.0,6198050,3331508,1238989
127,Urban League Of Greater Pittsburgh Inc.,250965592,2019,6644005.0,0.0,41239.0,6954180,322073.0,301100.0,107625.0,6785069,3466383,949612
128,Every Child Inc.,232914614,2021,271792.0,4302625.0,0.0,4588051,112750.0,113780.0,0.0,3937955,1979487,248919
129,Every Child Inc.,232914614,2020,193178.0,4429441.0,0.0,5265190,119950.0,195431.0,0.0,4340813,1336117,255645
130,Every Child Inc.,232914614,2019,75303.0,3828127.0,0.0,3917554,112500.0,187373.0,0.0,3909368,463704,307609
131,George Junior Republic In Pennsylvania,250753320,2021,381682.0,19696427.0,0.0,21034446,149143.0,1245155.0,0.0,31821012,5724677,4374334
132,George Junior Republic In Pennsylvania,250753320,2020,250923.0,30024409.0,0.0,30278869,167259.0,1479116.0,0.0,36122665,9022277,9229431
133,George Junior Republic In Pennsylvania,250753320,2019,253595.0,31691060.0,0.0,31966289,249724.0,1517802.0,0.0,37570234,7270203,6850393
134,Bair Foundation Of Pennsylvania The,251840964,2021,16372129.0,11256.0,276.0,16491374,1500.0,438791.0,0.0,15946447,2408322,1074586
135,Bair Foundation Of Pennsylvania The,251840964,2020,15104776.0,42984.0,1588.0,15157048,0.0,406868.0,0.0,14864982,2453462,1664653
136,Bair Foundation Of Pennsylvania The,251840964,2019,13259180.0,24681.0,6084.0,13292692,0.0,208399.0,0.0,12795948,2294728,1797984
137,Summit School Inc.,251782296,2021,2449205.0,11970322.0,13195.0,14501172,243059.0,-1222849.0,0.0,12198330,9642175,2649273
138,Summit School Inc.,251782296,2020,460903.0,17173025.0,93815.0,17789163,242140.0,764712.0,0.0,18601046,12154037,7463977
139,Summit School Inc.,251782296,2019,453721.0,19585949.0,82269.0,20158971,257810.0,721460.0,0.0,19927780,10191426,4689483
140,Providence Connections,251730893,2021,773870.0,667645.0,35450.0,1548467,94576.0,62769.0,0.0,1685607,4836172,475524
141,Providence Connections,251730893,2020,806445.0,832104.0,49152.0,1717109,74000.0,75645.0,0.0,1898223,4616600,324548
142,Providence Connections,251730893,2019,1635060.0,951591.0,25550.0,2719647,80057.0,82560.0,0.0,2034996,4530228,69690
143,Community Human Services Corporation,251219610,2021,13438179.0,267837.0,35.0,13898808,325800.0,452446.0,0.0,14038230,9790880,1957596
144,Community Human Services Corporation,251219610,2020,10273364.0,310894.0,903.0,10590298,313599.0,309295.0,0.0,10521048,9390608,1963048
145,Community Human Services Corporation,251219610,2019,8118165.0,377193.0,6190.0,8600431,377396.0,309238.0,0.0,8897893,7771198,475290
146,Greater Valley Community Services Inc.,271078786,2021,1447173.0,517335.0,0.0,1970508,86576.0,81793.0,0.0,1582933,963916,331192
147,Greater Valley Community Services Inc.,271078786,2020,1010682.0,263416.0,0.0,1275455,75301.0,67273.0,0.0,1220531,737071,491922
148,Greater Valley Community Services Inc.,271078786,2019,1045996.0,168169.0,0.0,1215215,85000.0,68551.0,0.0,1328385,413845,223620
149,Kingsley Association The,250965412,2021,453538.0,1261132.0,291172.0,2003107,88940.0,76284.0,0.0,1828699,9855607,1103464
150,Kingsley Association The,250965412,2020,161772.0,1165206.0,234667.0,1540256,264901.0,61880.0,0.0,1865142,8385085,1041576
151,Kingsley Association The,250965412,2019,173600.0,1255684.0,228914.0,1676347,108370.0,72665.0,0.0,1905042,8572952,968167
152,Lutheran Service Society Of Western Pennsylvania The,250965419,2021,302273.0,1168817.0,94.0,1539180,0.0,51819.0,0.0,1413921,3024089,1471553
153,Lutheran Service Society Of Western Pennsylvania The,250965419,2020,374984.0,1348155.0,232.0,1772226,0.0,54109.0,0.0,1563528,2963290,1536013
154,Lutheran Service Society Of Western Pennsylvania The,250965419,2019,220187.0,1522647.0,247.0,1630520,0.0,60960.0,0.0,1658406,2918049,1699470
155,Maple Unified Student Academy Inc.,251368765,2021,470177.0,19657.0,0.0,489834,0.0,50132.0,0.0,377065,228443,0
156,Maple Unified Student Academy Inc.,251368765,2020,287431.0,107438.0,0.0,394869,0.0,19376.0,0.0,398558,187172,71498
157,Maple Unified Student Academy Inc.,251368765,2019,268428.0,124296.0,0.0,392724,0.0,24008.0,0.0,468149,127508,8998
158,Nami Keystone Pennsylvania,251477291,2021,1354012.0,402368.0,756.0,1772009,158740.0,80696.0,0.0,1792819,1080552,103319
159,Nami Keystone Pennsylvania,251477291,2020,1364466.0,405656.0,3504.0,1777653,158374.0,79451.0,0.0,1823696,1108349,110306
160,Nami Keystone Pennsylvania,251477291,2019,2143533.0,0.0,2589.0,2147822,141122.0,74113.0,0.0,1902232,1157725,113639
161,Citizen Care Inc.,251266401,2021,1804068.0,29842920.0,0.0,31646988,196523.0,1254582.0,0.0,31749203,15121931,5761481
162,Citizen Care Inc.,251266401,2020,1350724.0,32233695.0,19378.0,33603797,195098.0,1173055.0,0.0,31984304,12376697,4245576
163,Citizen Care Inc.,251266401,2019,52828.0,33993273.0,14154.0,34060255,172520.0,1111606.0,0.0,29981404,11650759,5139131
164,Community Specialists Corporation,251413040,2021,1738431.0,10019666.0,6748.0,11855053,259575.0,-1089213.0,0.0,9473003,13196167,3621248
165,Community Specialists Corporation,251413040,2020,155067.0,12376400.0,38039.0,12656474,260630.0,521068.0,0.0,12414689,14377470,7184601
166,Community Specialists Corporation,251413040,2019,171143.0,12784278.0,3446.0,12979687,249455.0,507856.0,0.0,12512500,9041984,2820288
167,Devereux Foundation,231390618,2021,17986681.0,498177411.0,1091144.0,522143583,5668175.0,23148542.0,0.0,543085103,307889000,278486000
168,Devereux Foundation,231390618,2020,8983975.0,508533028.0,681414.0,519709316,4923128.0,22500851.0,0.0,512659877,279008000,220321000
169,Devereux Foundation,231390618,2019,14630245.0,481177555.0,481549.0,497504170,5647129.0,20312558.0,0.0,475839709,210877000,158728000
170,Eastern Area Adult Services Inc.,251433314,2021,2048524.0,125415.0,303.0,2178208,91932.0,140138.0,0.0,1809871,895660,107056
171,Eastern Area Adult Services Inc.,251433314,2020,1701448.0,125169.0,3021.0,1854292,91784.0,160139.0,0.0,1884736,782873,362606
172,Eastern Area Adult Services Inc.,251433314,2019,1711479.0,150792.0,12.0,1864343,91932.0,200990.0,0.0,1919630,535686,84975
173,Outreach Teen And Family Services Inc.,251402188,2021,188918.0,210354.0,12058.0,477321,0.0,17634.0,0.0,432719,196691,88578
174,Outreach Teen And Family Services Inc.,251402188,2020,141713.0,221536.0,536.0,380069,0.0,21409.0,0.0,454476,154788,91277
175,Outreach Teen And Family Services Inc.,251402188,2019,83478.0,302852.0,3039.0,425741,0.0,24341.0,0.0,504265,167513,29595
176,Greater Pittsburgh Community Food Bank,251420599,2021,83582245.0,2254633.0,267223.0,86169867,957290.0,638355.0,701536.0,71952528,60747557,10580017
177,Greater Pittsburgh Community Food Bank,251420599,2020,80556736.0,2729133.0,194106.0,83614058,960874.0,515570.0,604278.0,61859835,43706866,6823923
178,Greater Pittsburgh Community Food Bank,251420599,2019,50997860.0,2508744.0,160484.0,53626512,762320.0,487601.0,459181.0,54452682,19274201,4160251
179,Hosanna House Inc.,251627718,2021,4754308.0,673168.0,0.0,5404420,436860.0,151483.0,0.0,4403426,15163115,613444
180,Hosanna House Inc.,251627718,2020,4109762.0,497016.0,13120.0,4619898,323302.0,133782.0,0.0,3985128,14536757,986451
181,Hosanna House Inc.,251627718,2019,3338261.0,839662.0,18178.0,4192575,346254.0,172220.0,0.0,4397550,13505516,589980
182,Perseus House Inc.,237123683,2021,33268.0,12601576.0,661113.0,13333724,513271.0,571766.0,0.0,11067839,9317166,932860
183,Perseus House Inc.,237123683,2020,108215.0,10920582.0,137841.0,11210543,293489.0,651286.0,0.0,12185646,8823140,2704719
184,Perseus House Inc.,237123683,2019,108284.0,11477470.0,177851.0,11841213,300960.0,587601.0,0.0,11725704,8022257,928733
185,Primary Care Health Services Inc.,251300356,2021,8381561.0,4132002.0,330.0,14223217,1130192.0,498123.0,0.0,12676989,5712042,1768501
186,Primary Care Health Services Inc.,251300356,2020,6510339.0,3208109.0,409.0,10535764,862134.0,423572.0,0.0,11874406,4436640,2810511
187,Primary Care Health Services Inc.,251300356,2019,8226364.0,2996316.0,2418.0,11420282,754663.0,488338.0,0.0,11550400,4173930,1209605
188,Passages To Recovery Inc.,251296999,2021,628725.0,6157555.0,0.0,6786280,161434.0,185945.0,0.0,3916478,9557114,1826252
189,Passages To Recovery Inc.,251296999,2020,1070293.0,3830688.0,0.0,4900981,161728.0,185701.0,0.0,3785710,6774333,1913273
190,Passages To Recovery Inc.,251296999,2019,188283.0,4356095.0,0.0,4544378,147869.0,182489.0,0.0,3811626,5651250,1905461
191,Ward Home Inc.,251346790,2021,106457.0,1883415.0,66498.0,2056370,0.0,0.0,0.0,1949038,3477053,19200
192,Ward Home Inc.,251346790,2020,86464.0,1370930.0,127.0,1457521,0.0,0.0,0.0,1696543,3236020,371071
193,Ward Home Inc.,251346790,2019,255612.0,1223956.0,1474.0,1630479,79232.0,0.0,0.0,2041757,3237290,143467
194,Blind And Vision Rehabilitation Services Of Pittsburgh,251803195,2021,1408528.0,809937.0,510685.0,3587455,333922.0,208575.0,0.0,4840448,38133664,18300422
195,Blind And Vision Rehabilitation Services Of Pittsburgh,251803195,2020,2003891.0,1135421.0,589000.0,4646588,439258.0,216957.0,0.0,5447071,36025928,18609187
196,Blind And Vision Rehabilitation Services Of Pittsburgh,251803195,2019,2696262.0,813597.0,581854.0,5142732,400934.0,243793.0,0.0,5809409,38294893,19759393
197,Plum Senior Community Center,251413004,2021,366533.0,19166.0,1329.0,407490,0.0,13734.0,0.0,396324,746254,54323
198,Plum Senior Community Center,251413004,2020,345970.0,21484.0,1898.0,402108,0.0,19360.0,0.0,366428,702290,3400
199,Plum Senior Community Center,251413004,2019,286217.0,19710.0,1982.0,342505,0.0,16500.0,0.0,393155,674974,11764
200,Blueprints,251153028,2021,27116946.0,441368.0,45955.0,27749250,705652.0,1070074.0,0.0,26869435,10847846,2171710
201,Blueprints,251153028,2020,22758769.0,277157.0,72496.0,23150876,558177.0,960342.0,0.0,22618831,9542152,1836509
202,Blueprints,251153028,2019,22366516.0,387540.0,72709.0,22881041,535757.0,1020920.0,0.0,22879816,8494788,1402362
203,Autism Society Of Pittsburgh Inc.,237350636,2021,408341.0,90310.0,48.0,528096,148845.0,24930.0,0.0,488245,458431,65874
